Lat,Lon,NAME,LENGTH_M
5.060872394,-156.658119,SHANGRILA,20785.17048
5.084231816,-156.8434017,SHANGRILA,27696.9849
5.058793057,-156.8709243,SHANGRILA,11962.90039
5.119722158,-156.6343622,SHANGRILA,10699.04463
5.178425797,-156.3164887,SHANGRILA,33667.83697
5.216338946,-156.4993681,SHANGRILA,13700.57806
5.439705654,-157.5475192,SHANGRILA,23426.72274
5.350051402,-157.3318783,SHANGRILA,3118.517885
5.384230856,-157.3256131,SHANGRILA,4435.592385
5.485033768,-157.4611465,SHANGRILA,42521.69943
5.171349587,-156.9159868,SHANGRILA,10395.30547
5.410790044,-157.1153142,SHANGRILA,21449.53893
5.467245019,-157.1817784,SHANGRILA,22732.95719
5.650189199,-157.6691156,SHANGRILA,19409.94118
5.637165942,-157.4616368,SHANGRILA,42976.81438
5.47208137,-156.9833297,SHANGRILA,11741.25396
5.62323398,-157.3186309,SHANGRILA,11751.91164
5.225686647,-157.5889025,SHANGRILA,8687.58441
4.920894685,-157.0324025,SHANGRILA,64915.88458
5.127851465,-157.6825717,SHANGRILA,62696.89976
5.079382861,-158.2954632,SHANGRILA,28097.64933
5.07621328,-157.9296654,SHANGRILA,15409.43292
5.065879323,-157.7149306,SHANGRILA,16935.8053
5.024977226,-157.4891899,SHANGRILA,6737.254511
4.940928289,-157.2874214,SHANGRILA,15798.30768
4.835638825,-157.0046823,SHANGRILA,14936.08789
4.691303259,-156.5958266,SHANGRILA,21705.40891
4.637575295,-156.578732,SHANGRILA,25701.01591
4.621908699,-156.7026732,SHANGRILA,49550.17394
4.81263824,-157.029014,SHANGRILA,13904.97608
4.741972299,-157.0889381,SHANGRILA,14310.4009
4.644752491,-156.8561278,SHANGRILA,11780.60828
4.553725939,-156.6235802,SHANGRILA,11558.29572
4.429656568,-156.1556202,SHANGRILA,13743.10321
4.3375626,-155.8735407,SHANGRILA,15484.81176
3.936663116,-154.678418,SHANGRILA,31283.33803
3.988715593,-154.3248461,SHANGRILA,18944.9543
3.989941744,-154.6641205,SHANGRILA,11109.68003
4.041503736,-154.9351573,SHANGRILA,6504.000401
4.088690896,-154.9085807,SHANGRILA,7551.97686
